心灵奇旅,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020
黑客帝国3：矩阵革命,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003
电锯惊魂,导演: 詹姆斯·温 James Wan,2004
三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh,2017
小丑,导演: 托德·菲利普斯 Todd Phillips,2019
谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass,2007
达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée,2013
疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013
无间道2,导演: 刘伟强 Andrew Lau / 麦兆辉 Alan Mak,2003
绿里奇迹,导演: 弗兰克·德拉邦特 Frank Darabont,1999
爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater,2013
海街日记,导演: 是枝裕和 Hirokazu Koreeda,2015
风之谷,导演: 宫崎骏 Hayao Miyazaki,1984
疯狂的石头,导演: 宁浩 Hao Ning,2006
上帝之城,"导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund&nbsp;&nbsp;&nbsp...<br>
                            2002&nbsp;/&nbsp;巴西 法国&nbsp;/&nbsp;犯罪 剧情
                        </p>

                        
                        <div>
                            <span class=""rating45-t""></span>
                            <span class=""rating_num"" property=""v:average"">9.0</span>
                            <span property=""v:best"" content=""10.0""></span>
                            <span>328199人评价</span>
                        </div>

                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em>181</em>
                    <a href=""https://movie.douban.com/subject/1291992/"">
                        <img width=""100"" alt=""末路狂花"" src=""https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg"">
                    </a>
                </div>
                <div class=""info"">
                    <div class=""hd"">
                        <a href=""https://movie.douban.com/subject/1291992/"">
                            <span class=""title"">末路狂花</span>
                                    <span class=""title"">&nbsp;/&nbsp;Thelma &amp; Louise</span>
                                <span class=""other"">&nbsp;/&nbsp;塞尔玛与路易丝  /  末路狂花</span>
                        </a>


                    </div>
                    <div class=""bd"">
                        <p>
                            导演: 雷德利·斯科特 Ridley Scott",1991
英雄本色,导演: 吴宇森 John Woo,1986
雨中曲,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952
2001太空漫游,导演: 斯坦利·库布里克 Stanley Kubrick,1968
心迷宫,导演: 忻钰坤 Yukun Xin,2014
高山下的花环,导演: 谢晋 Jin Xie,1984(中国大陆) / 1985
纵横四海,导演: 吴宇森 John Woo,1991
记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan,2000
卢旺达饭店,导演: 特瑞·乔治 Terry George,2004
无敌破坏王,导演: 瑞奇·莫尔 Rich Moore,2012
小偷家族,导演: 是枝裕和 Hirokazu Koreeda,2018
冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002
恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith,2009
牯岭街少年杀人事件,导演: 杨德昌 Edward Yang,1991
东京教父,导演: 今敏 Satoshi Kon,2003
魔女宅急便,导演: 宫崎骏 Hayao Miyazaki,1989
岁月神偷,导演: 罗启锐 Alex Law,2010
忠犬八公物语,导演: 神山征二郎 Seijirô Kôyama,1987
芙蓉镇,导演: 谢晋 Jin Xie,1987
荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron,2014
机器人之梦,导演: 巴勃罗·贝格尔 Pablo Berger,2023
遗愿清单,导演: 罗伯·莱纳 Rob Reiner,2007
大佛普拉斯,导演: 黄信尧 Hsin-yao Huang,2017
源代码,导演: 邓肯·琼斯 Duncan Jones,2011
贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008
你看起来好像很好吃,导演: 藤森雅也 Masaya Fujimori,2010
疯狂的麦克斯4：狂暴之路,导演: 乔治·米勒 George Miller,2015
可可西里,导演: 陆川 Chuan Lu,2004
东邪西毒,导演: 王家卫 Kar Wai Wong,1994
花束般的恋爱,导演: 土井裕泰 Nobuhiro Doi,2021
波西米亚狂想曲,导演: 布莱恩·辛格 Bryan Singer,2018
城市之光,导演: 查理·卓别林 Charles Chaplin,1931
爆裂鼓手,导演: 达米恩·查泽雷 Damien Chazelle,2014
白日梦想家,导演: 本·斯蒂勒 Ben Stiller,2013
青蛇,导演: 徐克 Hark Tsui,1993
爱乐之城,导演: 达米恩·查泽雷 Damien Chazelle,2016
黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,2010
哈利·波特与死亡圣器(上),导演: 大卫·叶茨 David Yates,2010
终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron,1991
无耻混蛋,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,2009
